s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,s115,s116,s117,s118,s119,s120,s121,s122,s123,s124,s125,s126,s127,s128,s129,s130,s131,s132,s133,s134,s135,s136,s137,s138,s139,s140,s141,s142,s143,s144,s145,s146,s147,s148,s149,s150,s151,s152,s153,s154,s155,s156,s157,s158,s159,s160,s161,s162,s163,s164,s165,s166,s167,s168,s169,s170,s171,s172,s173,s174,s175,s176,s177,s178,s179,s180,s181,s182,s183,s184,s185,s186,s187,s188,s189,s190,s191,s192,s193,s194,s195,s196,s197,s198,s199,s200,s201,s202,s203,s204,s205,s206,s207,s208,s209,s210,s211,s212,s213,s214,s215,s216,s217,s218,s219,s220,s221,s222,s223,s224,s225,s226,s227,s228,s229,s230,s231,s232,s233,s234,s235,s236,s237,s238,s239,s240,s241,s242,s243,s244,s245,s246,s247,s248,s249,s250,s251,s252,s253,s254,s255,s256,s257,s258,s259,s260,s261,s262,s263,s264,s265,s266,s267,s268,s269,s270,s271,s272,s273,s274,s275,s276,s277,s278,s279,s280,s281,s282,s283,s284,s285,s286,s287,s288,s289,s290,s291,s292,s293,s294,s295,s296,s297,s298,s299,s300,s301,s302,s303,s304,s305,s306,s307,s308,s309,s310,s311,s312,s313,s314,s315,s316,s317,s318,s319,s320,s321,s322,s323,s324,s325,s326,s327,s328,s329,s330,s331,s332,s333,s334,s335,s336,s337,s338,s339,s340,s341,s342,s343,s344,s345,s346,s347,s348,s349,s350,s351,s352,s353,s354,s355,s356,s357,s358,s359,s360,s361,s362,s363,s364,s365,s366,s367,s368,s369,s370,s371,s372,s373,s374,s375,s376,s377,s378,s379,s380,s381,s382,s383,s384,s385,s386,s387,s388,s389,s390,s391,s392,s393,s394,s395,s396,s397,s398,s399,s400,s401,s402,s403,s404,s405,s406,s407,s408,s409,s410,s411,s412,s413,s414,s415,s416,s417,s418,s419,s420,s421,s422,s423,s424,s425,s426,s427,s428,s429,s430,s431,s432,s433,s434,s435,s436,s437,s438,s439,s440,s441,s442,s443,s444,s445,s446,s447,s448,s449,s450,s451,s452,s453,s454,s455,s456,infere,familly
1425,0,2,0,3,2,1,3,1,0,3,3,1,4,1,0,3,4,1,3,4,1,3,3,0,3,2,3,3,4,1,2,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,1,1,3,1,0,3,0,0,0,1,3,1,0,4,2,2,0,4,0,3,2,0,3,2,1,0,4,4,4,4,2,0,2,1,1,0,4,4,3,3,3,0,1,2,2,3,2,1,3,3,0,3,1,2,3,1,1,4,0,1,3,2,0,4,1,0,2,0,3,2,3,1,4,4,4,4,4,4,4,4,4,2,1,3,3,1,2,4,4,4,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,0,3,1,0,4,2,0,1,0,1,4,4,1,0,4,3,2,2,2,1,0,3,0,0,1,2,3,3,2,0,4,4,4,4,4,2,3,2,0,0,2,1,0,1,1,0,0,0,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,CACR01001551.1/8840-8988,1
1426,0,2,0,3,2,1,3,1,0,3,1,1,4,1,0,1,4,3,3,4,0,3,3,0,3,2,0,3,4,0,2,1,1,3,2,4,2,3,3,3,3,4,3,0,3,0,2,1,1,0,4,0,3,3,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,3,3,1,0,3,0,0,0,1,1,1,0,4,2,2,2,4,0,3,2,0,1,2,1,0,4,4,4,4,2,0,2,1,1,2,0,3,3,3,3,0,2,2,2,3,2,1,1,3,0,3,3,2,3,1,1,0,3,2,3,0,0,4,0,1,2,0,3,2,3,3,4,4,4,4,4,4,4,4,4,2,0,0,3,0,4,4,4,4,3,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,0,3,1,0,4,1,0,3,0,1,4,4,1,4,4,4,2,2,2,1,0,3,0,0,1,2,3,3,2,0,4,4,4,4,4,2,3,2,0,2,2,1,0,1,1,2,0,1,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,CACZ01000059.1/364-201,1
1427,0,2,0,3,2,1,3,1,0,3,3,1,4,1,0,3,4,1,3,4,1,3,3,0,3,2,3,3,4,1,2,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,1,1,3,1,0,3,0,0,0,1,3,1,1,4,2,2,0,4,0,3,2,0,1,2,1,0,4,4,4,4,2,0,2,1,1,2,4,4,3,3,3,0,1,2,2,3,2,1,3,3,0,3,1,2,3,1,1,4,0,1,3,2,0,4,1,0,2,0,3,2,3,1,4,4,4,4,4,4,4,4,4,2,1,3,3,0,3,4,4,4,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,0,3,1,0,4,2,0,1,0,1,4,4,1,0,4,3,2,2,0,1,0,1,0,0,1,2,3,3,2,0,4,4,4,4,4,2,3,2,0,0,2,1,0,1,1,1,0,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ADUP01000032.1/241156-241304,1
1428,0,2,0,3,2,1,3,1,0,3,3,1,4,1,0,3,4,1,3,4,1,3,3,0,3,2,3,3,4,1,2,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,1,1,3,1,0,3,0,0,0,1,3,1,1,4,2,2,0,4,0,3,2,0,1,2,1,0,4,4,4,4,2,0,2,1,1,2,4,4,3,3,3,0,1,2,2,3,2,1,3,3,0,3,1,2,3,1,1,4,0,1,3,2,0,4,1,0,2,0,3,2,3,1,4,4,4,4,4,4,4,4,4,2,1,3,3,0,3,4,4,4,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,0,3,1,0,4,2,0,1,0,1,4,4,1,0,4,3,2,2,0,1,0,1,0,0,1,2,3,3,2,0,4,4,4,4,4,2,3,2,0,0,2,1,0,1,1,1,0,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ACDM01000094.1/39488-39636,1
1429,0,2,0,3,2,1,3,1,0,3,3,1,4,1,0,3,4,1,3,4,1,3,3,0,3,2,3,3,4,1,2,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,1,1,3,1,0,3,0,0,0,1,3,1,1,4,2,2,0,4,0,3,2,0,1,2,1,0,4,4,4,4,2,0,2,1,1,2,4,4,3,3,3,0,1,2,2,3,2,1,3,3,0,3,1,2,3,1,1,4,0,1,3,2,0,4,1,0,2,0,3,2,3,1,4,4,4,4,4,4,4,4,4,2,1,3,3,0,3,4,4,4,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,0,3,1,0,4,2,0,1,0,1,4,4,1,0,4,3,2,2,0,1,0,1,0,0,1,2,3,3,2,0,4,4,4,4,4,2,3,2,0,0,2,1,0,1,1,1,0,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,AEZU01000119.1/151227-151079,1
1430,0,2,3,2,2,1,3,1,0,3,3,1,4,0,1,1,4,3,3,4,1,3,3,0,3,2,3,1,4,0,2,1,4,4,4,4,1,1,1,3,3,4,0,2,2,4,4,4,4,4,4,2,0,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,3,0,1,0,3,0,0,0,1,3,4,3,4,1,2,0,4,0,3,2,0,1,2,1,0,4,4,4,4,1,0,0,4,4,4,4,4,4,4,1,0,0,2,2,3,2,1,1,3,2,1,1,2,3,1,3,0,0,1,3,3,4,4,1,3,2,0,3,0,0,3,0,4,4,4,4,4,4,4,4,2,1,2,3,0,4,4,4,4,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,0,3,1,0,4,0,1,1,3,1,4,4,1,4,4,4,2,2,2,1,2,0,0,0,1,2,3,1,2,0,4,4,4,4,4,2,3,3,0,2,2,1,0,1,1,2,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,CAAQ01005660.1/1526-1673,1
1431,0,2,0,3,2,1,3,1,0,3,3,1,4,1,0,3,4,1,3,4,1,3,3,0,3,2,3,3,4,1,2,1,1,3,3,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,3,1,0,3,0,0,0,1,3,1,0,4,2,2,0,4,0,3,2,0,3,2,1,0,4,4,4,4,2,0,2,1,1,2,4,4,3,3,3,0,1,2,2,3,2,1,3,3,0,3,1,2,3,1,1,4,0,1,3,2,0,4,1,0,2,0,3,2,3,1,4,4,4,4,4,4,4,4,4,2,1,3,3,0,1,4,4,4,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,0,3,1,0,4,0,0,1,0,1,4,4,1,1,4,3,2,2,0,1,0,1,0,0,1,2,3,3,2,0,4,4,4,4,4,2,3,2,0,0,2,1,0,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,CP001127.1/4020966-4021114,1
1432,0,2,0,3,2,1,3,1,0,3,3,1,4,1,0,3,4,1,3,4,1,3,3,0,3,2,3,3,4,1,2,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,1,1,3,1,0,3,0,0,0,1,3,1,1,4,2,2,0,4,0,3,2,0,1,2,1,0,4,4,4,4,2,0,2,1,1,2,4,4,3,3,3,0,1,2,2,3,2,1,3,3,0,3,1,2,3,1,1,4,0,1,3,2,0,4,1,0,2,0,3,2,3,1,4,4,4,4,4,4,4,4,4,2,1,3,3,0,3,4,4,4,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,0,3,1,0,4,2,0,1,0,1,4,4,1,0,4,3,2,2,0,1,0,1,0,0,1,2,3,3,2,0,4,4,4,4,4,2,3,2,0,0,2,1,0,1,1,1,0,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,AGTK01000019.1/38103-38251,1
1433,0,2,3,2,2,1,3,1,0,3,3,1,4,0,1,1,4,2,0,4,1,3,3,0,3,2,3,1,4,0,2,1,4,4,4,4,1,1,1,3,3,4,1,2,2,4,4,4,4,4,4,2,0,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,3,0,1,0,3,0,0,0,0,3,4,3,4,1,2,0,4,0,3,2,0,1,2,1,0,4,4,4,4,1,0,0,4,4,4,4,4,4,4,1,0,0,2,2,3,2,1,1,3,2,1,1,2,3,1,1,0,0,1,3,3,4,4,1,3,2,0,3,0,3,1,0,4,4,4,4,4,4,4,4,2,1,2,3,0,4,4,4,4,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,3,0,3,1,0,4,0,1,1,0,3,4,4,1,4,4,4,2,2,2,1,2,0,0,0,1,2,3,1,2,0,4,4,4,4,4,2,3,3,0,2,2,1,0,1,1,2,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ABKY02000002.1/750596-750743,1
1434,0,2,3,2,2,1,3,1,0,3,3,1,4,0,1,1,4,2,0,4,1,3,3,0,3,2,3,1,4,0,2,1,4,4,4,4,1,1,1,3,3,4,1,2,2,4,4,4,4,4,4,2,0,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,3,0,1,0,3,0,0,0,0,3,4,3,4,1,2,0,4,0,3,2,0,1,2,1,0,4,4,4,4,1,0,0,4,4,4,4,4,4,4,1,0,0,2,2,3,2,1,1,3,2,1,1,2,3,1,1,0,0,1,3,3,4,4,1,3,2,0,3,0,3,1,0,4,4,4,4,4,4,4,4,2,1,2,3,0,4,4,4,4,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,3,0,3,1,0,4,0,1,1,0,3,4,4,1,4,4,4,2,2,2,1,2,0,0,0,1,2,3,1,2,0,4,4,4,4,4,2,3,3,0,2,2,1,0,1,1,2,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,AB426059.1/2719-2572,1
1435,0,2,0,3,2,1,3,1,0,3,3,1,4,1,0,3,4,1,3,4,1,3,3,0,3,2,3,3,4,1,2,1,1,3,3,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,3,1,0,3,0,0,0,1,3,1,0,4,2,2,0,4,0,3,2,0,3,2,1,0,4,4,4,4,2,0,2,1,1,2,4,4,3,3,3,0,1,2,2,3,2,1,3,3,0,3,1,2,3,1,1,4,0,1,3,2,0,4,1,0,2,0,3,2,3,1,4,4,4,4,4,4,4,4,4,2,1,3,3,0,1,4,4,4,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,0,3,1,0,4,0,0,1,0,1,4,4,1,1,4,3,2,2,0,1,0,1,0,0,1,2,3,3,2,0,4,4,4,4,4,2,3,2,0,0,2,1,0,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,AETB01000042.1/53203-53055,1
1436,0,2,3,2,2,1,3,1,0,3,3,1,4,0,1,1,4,2,0,4,1,3,3,0,3,2,3,1,4,0,2,1,4,4,4,4,1,1,1,3,3,4,1,2,2,4,4,4,4,4,4,2,0,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,3,0,1,0,3,0,0,0,0,3,4,3,4,1,2,0,4,0,3,2,0,1,2,1,0,4,4,4,4,1,0,0,4,4,4,4,4,4,4,1,0,0,2,2,3,2,1,1,3,2,1,1,2,3,1,1,0,0,1,3,3,4,4,1,3,2,0,3,0,3,1,0,4,4,4,4,4,4,4,4,2,1,2,3,0,4,4,4,4,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,3,0,3,1,0,4,0,1,1,0,3,4,4,1,4,4,4,2,2,2,1,2,0,0,0,1,2,3,1,2,0,4,4,4,4,4,2,3,3,0,2,2,1,0,1,1,2,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ACXE01000085.1/30369-30222,1
1437,0,2,3,2,2,1,3,1,0,3,3,1,4,0,1,1,4,2,0,4,1,3,3,0,3,2,3,1,4,0,2,1,4,4,4,4,1,1,1,3,3,4,1,2,2,4,4,4,4,4,4,2,0,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,3,0,1,0,3,0,0,0,0,3,4,3,4,1,2,0,4,0,3,2,0,1,2,1,0,4,4,4,4,1,0,0,4,4,4,4,4,4,4,1,0,0,2,2,3,2,1,1,3,2,1,1,2,3,1,1,0,0,1,3,3,4,4,1,3,2,0,3,0,3,1,0,4,4,4,4,4,4,4,4,2,1,2,3,0,4,4,4,4,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,3,0,3,1,0,4,0,3,1,0,3,4,4,1,4,4,4,2,2,2,1,2,0,0,0,1,2,3,1,2,0,4,4,4,4,4,2,3,3,0,2,2,1,0,1,1,2,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,AFAT01000052.1/342666-342519,1
1438,0,2,0,3,2,1,3,1,0,3,3,1,4,0,1,1,4,3,3,4,3,3,3,0,3,2,0,3,4,0,2,3,1,1,1,2,1,3,2,3,3,4,0,0,2,1,2,2,0,0,4,3,0,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,3,3,1,0,3,0,0,2,1,1,0,3,4,1,2,0,4,0,3,2,0,3,2,1,1,4,4,4,4,3,0,0,2,4,4,4,4,4,4,0,1,3,2,2,3,0,1,1,3,0,3,1,2,3,1,1,0,1,1,3,0,0,0,1,1,2,0,3,0,3,1,2,3,2,3,4,4,4,4,4,2,0,0,3,0,1,4,4,4,0,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,0,3,1,0,4,0,0,1,0,3,4,4,1,4,4,4,2,2,2,1,2,0,1,0,1,2,3,3,2,0,4,4,4,4,4,2,3,2,0,2,2,3,0,1,1,2,1,1,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,AALD02000010.1/100030-100194,1
